2020-9-30-22-2-43 : foodHitCount = 1 out of 128 ;  foodHitCellPos = (1 , 2) ; idxToErase = 11 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-2-43 : foodHitCount = 2 out of 128 ;  foodHitCellPos = (2 , 2) ; idxToErase = 11 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-2-44 : foodHitCount = 3 out of 128 ;  foodHitCellPos = (2 , 3) ; idxToErase = 18 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-2-44 : foodHitCount = 3 out of 128 ;  foodHitCellPos = (2 , 3) ; idxToErase = 18 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-2-45 : foodHitCount = 4 out of 128 ;  foodHitCellPos = (2 , 4) ; idxToErase = 29 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-2-45 : foodHitCount = 5 out of 128 ;  foodHitCellPos = (2 , 5) ; idxToErase = 36 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-2-46 : foodHitCount = 6 out of 128 ;  foodHitCellPos = (3 , 5) ; idxToErase = 36 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-2-47 : foodHitCount = 7 out of 128 ;  foodHitCellPos = (4 , 5) ; idxToErase = 36 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-2-48 : foodHitCount = 8 out of 128 ;  foodHitCellPos = (5 , 5) ; idxToErase = 36 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-2-49 : foodHitCount = 9 out of 128 ;  foodHitCellPos = (5 , 6) ; idxToErase = 47 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-2-49 : foodHitCount = 10 out of 128 ;  foodHitCellPos = (5 , 7) ; idxToErase = 53 ; superFoodHitCount = 1 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
